MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED ARAB EMIRATES," 71,279.40 "," 2,321,351.19 ",,
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED STATES," 242,803.46 "," 14,094,355.78 ",,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,ARMENIA, 7.30 , 909.38 ,,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,HONG KONG," 50,000.00 "," 995,339.20 ",,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,NETHERLANDS, 62.76 ," 1,202.21 ",,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,POLAND, 5.37 , 41.39 ,,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,RUSSIA, 7.20 , 895.77 ,,
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SRI LANKA, 88.96 ," 3,206.92 ",,
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,SRI LANKA, 150.00 ," 3,457.69 ",,
302490000,"FRESH OR CHILLED INDIAN MACKERALS, SEER FISH,....",KGM,SRI LANKA, 75.00 ," 1,153.35 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,FRANCE, 27.93 , 265.05 ,,
302890010,FRESH OR CHILLED GROUPER,KGM,GERMANY, 18.42 , 567.04 ,,
302890010,FRESH OR CHILLED GROUPER,KGM,HONG KONG," 516,197.80 "," 17,769,840.24 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,NETHERLANDS," 2,895.27 "," 62,667.93 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,RUSSIA, 19.49 ," 2,424.77 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,SRI LANKA," 2,050.00 "," 62,977.71 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,TAIWAN," 221,709.00 "," 7,899,650.70 ",,
302890010,FRESH OR CHILLED GROUPER,KGM,THAILAND," 2,967.00 "," 91,348.98 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,ARMENIA, 103.33 ," 13,116.21 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,BAHRAIN, 28.95 ," 1,779.46 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,CZECH REPUBLIC, 33.85 , 260.51 ,,
302890013,REEF FISH (FRESH OR CHILLED),KGM,FRANCE, 428.56 ," 7,573.75 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,GERMANY, 41.29 ," 1,271.07 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,NETHERLANDS," 1,899.29 "," 30,611.08 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,RUSSIA, 39.87 ," 4,555.68 ",,
302890013,REEF FISH (FRESH OR CHILLED),KGM,SRI LANKA, 454.10 ," 24,265.42 ",,
303190000,"FROZEN SALMON, NES",KGM,SRI LANKA, 2.13 , 307.30 ,,
303420010,YELLOWFIN TUNA (FROZEN),KGM,CANADA," 42,475.00 "," 1,762,496.58 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,COSTA RICA," 474,972.00 "," 14,232,104.37 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,ECUADOR," 69,000.00 "," 2,295,395.92 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,FRANCE," 101,871.55 "," 764,943.59 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,INDIA, 15.00 , 346.32 ,,
303420010,YELLOWFIN TUNA (FROZEN),KGM,ITALY," 12,000.00 "," 423,835.03 ",,
