MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 191.59 ," 9,667.83 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,NETHERLANDS, 5.28 , 40.62 ,,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,PHILIPPINES," 9,091.28 "," 139,710.25 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,THAILAND, 214.21 ," 13,166.48 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UKRAINE, 15.20 ," 2,807.29 ",,
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,UNITED STATES, 52.35 ," 1,206.84 ",,
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,AUSTRALIA, 13.00 ," 1,198.66 ",,
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,ITALY, 9.96 , 551.99 ,,
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,UNITED STATES, 10.65 , 246.05 ,,
304599000,OTHER FRESH OR CHILLED FISH MEAT OTHER THAN FISH FILLETS EXCLUDING TUNA,KGM,SRI LANKA, 51.00 , 78.52 ,,
304870010,SKIPJACK FILLET (FROZEN),KGM,MAURITIUS," 27,002.00 "," 607,855.49 ",,
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,FRANCE, 5.00 , 523.17 ,,
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,MALAYSIA, 250.00 ," 6,116.53 ",,
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED ARAB EMIRATES," 1,050.00 "," 16,144.28 ",,
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 20,790.00 "," 319,714.04 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,CANADA, 722.73 ," 11,104.75 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 77,252.58 "," 2,313,316.08 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,HONG KONG, 110.50 , 168.23 ,,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SRI LANKA," 27,546.95 "," 208,886.23 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 52,563.82 "," 792,451.46 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED ARAB EMIRATES," 23,789.00 "," 369,390.34 ",,
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED STATES," 22,971.36 "," 341,468.91 ",,
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,PHILIPPINES," 5,654.00 "," 172,665.93 ",,
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,SPAIN," 73,500.00 "," 1,800,581.37 ",,
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,CANADA," 17,780.00 "," 2,764,064.58 ",,
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,FRANCE," 1,136.39 "," 14,244.96 ",,
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,MALAYSIA, 250.00 ," 4,885.53 ",,
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,NETHERLANDS," 10,008.00 "," 1,263,153.72 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,FRANCE, 50.89 ," 7,881.95 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,GERMANY, 30.00 ," 3,139.05 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,MALAYSIA, 500.00 ," 26,928.12 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,SRI LANKA," 10,083.80 "," 440,272.22 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,SWITZERLAND, 50.88 ," 22,019.51 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,THAILAND," 27,043.10 "," 597,346.16 ",,
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,UNITED STATES," 21,153.15 "," 271,376.77 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,ECUADOR," 216,082.00 "," 3,569,736.24 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,FRANCE," 120,000.00 "," 11,260,978.20 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,MAURITIUS," 702,353.00 "," 17,862,906.42 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,THAILAND," 477,582.00 "," 9,205,071.04 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,UNITED STATES, 29.07 ," 1,177.30 ",,
304870019,SKIPJACK TUNA LOIN (FROZEN),KGM,VIETNAM," 189,027.00 "," 3,323,663.03 ",,
304870099,"OTHER FROZEN FISH FILLETS AND MEATS OF TUNAS, NES",KGM,GERMANY, 5.16 , 267.97 ,,
304870099,"OTHER FROZEN FISH FILLETS AND MEATS OF TUNAS, NES",KGM,SRI LANKA, 25.00 , 38.46 ,,
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,UNITED STATES," 30,790.00 "," 236,890.56 ",,
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,GERMANY, 103.82 ," 5,748.29 ",,
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,ITALY, 5.19 , 287.17 ,,
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,SWITZERLAND, 1.01 , 111.67 ,,
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,TAIWAN," 13,992.00 "," 215,057.04 ",,
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,UNITED STATES," 14,270.00 "," 219,329.90 ",,
305100010,FISH MEAL ( FIT FOR HUMAN CONSUMPTION ),KGM,SRI LANKA, 11.00 ," 1,013.90 ",,
305100011,FISH MEAL ( FROZEN & COOKED FIT FOR HUMAN CONSUMPTION ),KGM,SRI LANKA," 55,502.00 "," 852,917.94 ",,
305200010,"LIVER OF FISH ( DRIED , SALTED , SMOKED IN BRINE )",KGM,SRI LANKA, 330.00 ," 5,068.98 ",,
305200011,"ROES OF FISH ( DRIED , SALTED , SMOKED IN BRINE )",KGM,SRI LANKA, 200.00 ," 3,071.50 ",,
305391012,"YELLOWFIN TUNA LOIN (DRIED,SALTED,IN BRINE) BUT NOT SMOKED",KGM,NETHERLANDS, 395.70 ," 12,153.93 ",,
305391012,"YELLOWFIN TUNA LOIN (DRIED,SALTED,IN BRINE) BUT NOT SMOKED",KGM,SINGAPORE, 9.60 , 31.94 ,,
305391012,"YELLOWFIN TUNA LOIN (DRIED,SALTED,IN BRINE) BUT NOT SMOKED",KGM,SRI LANKA," 2,031.00 "," 33,772.94 ",,
305399098,"OTHER FRESH WATER FISH (DRIED, SALTED OR IN BRINE, BUT NOT SMOKED), NES ",KGM,SRI LANKA," 2,077.00 "," 20,897.77 ",,
305399099,"REEF FISH FILLET (DRIED,SALTED IN BRINE)",KGM,SRI LANKA," 3,150.00 "," 48,461.63 ",,
305430000,SMOKED FISH AND FILLET OF TROUT (SALMO TRUTTA),KGM,SRI LANKA, 8.00 ," 2,489.13 ",,
305491010,SKIPJACK (SMOKED),KGM,JAPAN, 349.00 ," 14,615.84 ",,
305491010,SKIPJACK (SMOKED),KGM,MALAYSIA, 430.45 ," 16,800.25 ",,
305491010,SKIPJACK (SMOKED),KGM,NEPAL, 36.00 ," 3,767.30 ",,
305491010,SKIPJACK (SMOKED),KGM,SRI LANKA," 2,377.20 "," 42,042.78 ",,
305491011,TUNA (SMOKED),KGM,AUSTRALIA, 68.69 ," 6,453.80 ",,
305491011,TUNA (SMOKED),KGM,JAPAN, 2.68 , 41.25 ,,
305491011,TUNA (SMOKED),KGM,MALAYSIA, 599.62 ," 29,365.80 ",,
305491011,TUNA (SMOKED),KGM,SINGAPORE, 58.11 , 337.58 ,,
305491011,TUNA (SMOKED),KGM,SRI LANKA, 324.10 ," 13,262.80 ",,
305491011,TUNA (SMOKED),KGM,UNITED ARAB EMIRATES, 2.00 , 61.59 ,,
305491012,YELLOWFIN TUNA FILLET (SMOKED),KGM,AUSTRALIA, 64.00 ," 2,013.14 ",,
305491012,YELLOWFIN TUNA FILLET (SMOKED),KGM,GERMANY, 663.00 ," 15,282.98 ",,
305491012,YELLOWFIN TUNA FILLET (SMOKED),KGM,UNITED ARAB EMIRATES, 0.50 , 38.49 ,,
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,MALAYSIA, 3.00 , 92.19 ,,
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,SRI LANKA, 90.00 ," 1,659.52 ",,
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,SWITZERLAND, 0.35 , 30.71 ,,
305499012,"SMOKED FISH INCLUDING FILLETS, OTHER THAN EDIBLE FISH OFFAL",KGM,AUSTRALIA, 1.42 , 245.92 ,,
305499012,"SMOKED FISH INCLUDING FILLETS, OTHER THAN EDIBLE FISH OFFAL",KGM,SRI LANKA, 150.00 ," 2,306.70 ",,
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,JAPAN," 10,780.00 "," 1,708,535.68 ",,
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,SRI LANKA," 53,632.85 "," 2,153,684.05 ",,
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,SRI LANKA," 76,431.00 "," 1,533,282.37 ",,
305591010,SKIPJACK (DRIED),KGM,MALAYSIA, 26.00 , 502.79 ,,
305591010,SKIPJACK (DRIED),KGM,SRI LANKA," 1,006,482.25 "," 18,210,491.51 ",,
305591011,SKIPJACK (SALTED DRIED),KGM,SRI LANKA," 102,805.00 "," 1,619,373.76 ",,
305591012,TUNA (DRIED),KGM,MALAYSIA, 19.67 ," 3,463.78 ",,
305591012,TUNA (DRIED),KGM,SRI LANKA," 2,164.00 "," 40,198.07 ",,
305591014,"BELLY FLAP (YELLOWFIN TUNA) SALTED, DRIED",KGM,SRI LANKA, 114.00 ," 4,817.63 ",,
305591015,"TUNA SALTED ,DRIED",KGM,SRI LANKA," 6,380.00 "," 96,457.07 ",,
305591016,"SKIPJACK TUNA BELLY FLAP(DRIED,SALTED IN BRINE)",KGM,JAPAN," 1,080.00 "," 45,608.92 ",,
305591018,YELLOWFIN TUNA (SALTED DRIED),KGM,SRI LANKA," 63,131.40 "," 857,705.77 ",,
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,JAPAN," 224,440.00 "," 35,385,253.75 ",,
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,MALAYSIA, 2.47 , 877.09 ,,
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,SINGAPORE, 26.74 , 379.06 ,,
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,SRI LANKA, 536.60 ," 21,042.05 ",,
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,SRI LANKA, 254.00 ," 3,907.96 ",,
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,SRI LANKA," 2,324.50 "," 43,378.95 ",,
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,SRI LANKA," 4,452.00 "," 130,870.75 ",,
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,SRI LANKA," 49,906.60 "," 840,498.40 ",,
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,SRI LANKA," 10,961.00 "," 292,541.18 ",,
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,SRI LANKA," 9,544.20 "," 193,392.37 ",,
305599016,"GREEN JOB FISH (SALTED DRIED)""GUILA""(GIULHU)",KGM,SRI LANKA, 50.00 ," 2,129.18 ",,
305599019,"SPRAT(DRIED,WHETHER OR NOT SALTED)",KGM,MALAYSIA, 2.10 , 322.51 ,,
305599019,"SPRAT(DRIED,WHETHER OR NOT SALTED)",KGM,SINGAPORE, 0.60 , 99.67 ,,
305599019,"SPRAT(DRIED,WHETHER OR NOT SALTED)",KGM,SRI LANKA, 6.00 , 353.50 ,,
305599019,"SPRAT(DRIED,WHETHER OR NOT SALTED)",KGM,SWITZERLAND, 0.45 , 138.20 ,,
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,HONG KONG, 974.00 ," 37,540.77 ",,
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,SRI LANKA," 86,069.60 "," 1,517,393.83 ",,
305599021,"SARDINE(DRIED,WHETHER OR NOT SALTED)",KGM,SRI LANKA, 204.00 ," 3,139.05 ",,
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,AUSTRALIA, 0.71 , 153.70 ,,
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,MALAYSIA, 20.00 , 353.71 ,,
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,SRI LANKA," 46,945.50 "," 1,025,158.20 ",,
305691010,"TUNA (SALTED,IN BRINE)NOT DRIED OR SMOKED",KGM,SRI LANKA," 1,090.00 "," 18,135.80 ",,
305699099,"FISH,(WHETHER OR NOT SALTED IN BRINE) BUT NOT SMOKED OR DRIED",KGM,SRI LANKA, 926.00 ," 18,618.76 ",,
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,HONG KONG, 240.00 ," 7,376.40 ",,
308190011,SEA CUCUMBER (DRIED),KGM,HONG KONG," 45,059.10 "," 2,235,554.67 ",,
308190011,SEA CUCUMBER (DRIED),KGM,MALAYSIA," 31,085.40 "," 990,216.16 ",,
308190011,SEA CUCUMBER (DRIED),KGM,SINGAPORE," 7,137.06 "," 684,284.78 ",,
308190011,SEA CUCUMBER (DRIED),KGM,SRI LANKA," 3,925.97 "," 103,256.64 ",,
308190011,SEA CUCUMBER (DRIED),KGM,UNITED STATES, 732.20 ," 117,276.21 ",,
401200000,"MILK AND CREAM OF >1% BUT =<6% FAT, NOT CONCENTRATED OR SWEETENED",LTR,SRI LANKA, 0.40 , 23.05 ,,
401400000,"MILK AND CREAM >6% BUT NOT >10% FAT, NOT CONCENTRATED OR SWEETENED",KGM,MALAYSIA, 0.05 , 30.74 ,,
401400000,"MILK AND CREAM >6% BUT NOT >10% FAT, NOT CONCENTRATED OR SWEETENED",KGM,SRI LANKA, 2.10 , 860.44 ,,
402290099,MILK POWDER ( FAT CONTENT > 1.5% SWEETENED),KGM,MALAYSIA, 0.50 , 122.96 ,,
402290099,MILK POWDER ( FAT CONTENT > 1.5% SWEETENED),KGM,SRI LANKA, 48.74 ," 6,548.57 ",,
402990010,CONDENSED MILK,LTR,SRI LANKA, 0.80 , 30.73 ,,
402990011,SWEETENED MILK & CREAM ( EXCL . IN SOLID FORM ),LTR,SRI LANKA, 0.90 , 153.65 ,,
405100000,BUTTER,KGM,SRI LANKA, 1.40 , 238.15 ,,
405900010,GHEE,KGM,SRI LANKA, 1.65 , 230.48 ,,
406100011,CHEESE  ( FRESH ),KGM,SRI LANKA, 7.46 ," 1,882.21 ",,
409000020,NATURAL HONEY IN PACKAGING OTHER THAN PLASTIC,KGM,SRI LANKA, 1.75 , 737.53 ,,
510000000,"AMBERGRIS, CASTOREUM, CIVET AND MUSK; CANTHARIDES; ETC",KGM,UNITED ARAB EMIRATES, 16.65 ," 333,433.89 ",,
510000010,AMBERGRIS,KGM,UNITED ARAB EMIRATES, 1.22 ," 14,079.56 ",,
709600010,CHILLIES( FRESH OR CHILLED ),KGM,MALAYSIA, 11.50 , 169.13 ,,
709600010,CHILLIES( FRESH OR CHILLED ),KGM,SRI LANKA, 40.60 ," 3,120.43 ",,
709920000,OLIVE (FRESH OR CHILLED),KGM,SRI LANKA, 2.50 , 107.56 ,,
709930014,PUMPKIN & SQUASH (FRESH OR CHILLED),KGM,SRI LANKA, 0.66 , 92.19 ,,
709990010,BREAD FRUIT (FRESH OR CHILLED),KGM,SINGAPORE, 4.03 , 62.01 ,,
709990099,VEGETABLES FRESH OR CHILLED NES,KGM,MALAYSIA, 7.00 , 135.22 ,,
712200000,DRIED ONIONS,KGM,MALAYSIA, 0.25 , 15.37 ,,
712900099,VEGETABLES ( DRIED ) NOT SPECIFIED,KGM,MALAYSIA, 1.00 , 15.39 ,,
712900099,VEGETABLES ( DRIED ) NOT SPECIFIED,KGM,SRI LANKA, 0.40 , 76.88 ,,
713200000,"DRIED CHICKPEAS, SHELLED",KGM,MALAYSIA, 1.00 , 7.70 ,,
713400010,DHAL,KGM,SRI LANKA, 11.00 , 322.66 ,,
714300011,YAM (DRIED),KGM,MALAYSIA, 1.25 , 153.87 ,,
801310000,"CASHEW NUTS, IN SHELL,FRESH OR DRIED",KGM,SRI LANKA, 8.75 ," 1,843.79 ",,
802110000,"ALMONDS IN SHELL, FRESH OR DRIED",KGM,SRI LANKA, 6.95 ," 77,696.97 ",,
802310000,"WALNUTS IN SHELL, FRESH OR DRIED",KGM,SRI LANKA, 1.50 , 215.11 ,,
802800000,ARECA NUTS (FRESH OR DRIED),KGM,MALAYSIA, 27.25 ," 1,815.81 ",,
802800000,ARECA NUTS (FRESH OR DRIED),KGM,SINGAPORE, 1.90 , 502.96 ,,
802800000,ARECA NUTS (FRESH OR DRIED),KGM,SRI LANKA, 0.40 , 30.72 ,,
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,AUSTRALIA, 0.10 , 46.16 ,,
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,BAHRAIN," 1,254.00 "," 193,554.05 ",,
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,MALAYSIA, 3.78 ," 1,444.85 ",,
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,SRI LANKA, 2.65 , 445.79 ,,
804100000,"DATES, FRESH OR DRIED",KGM,MALAYSIA, 0.40 , 61.48 ,,
804100000,"DATES, FRESH OR DRIED",KGM,SRI LANKA, 1.00 , 215.11 ,,
804200000,"FIGS, FRESH OR DRIED",KGM,SRI LANKA, 0.50 , 61.46 ,,
804501000,MANGO (FRESH),KGM,SINGAPORE, 2.00 , 18.46 ,,
806200000,DRIED GRAPES,KGM,SRI LANKA, 0.25 , 15.36 ,,
809400010,PLUM ( FRESH ),KGM,SRI LANKA, 0.50 , 61.46 ,,
813200000,DRIED PRUNES,KGM,SRI LANKA, 2.00 , 184.38 ,,
813400099,FRUIT ( DRIED ) NOT SPECIFIED,KGM,MALAYSIA, 0.60 , 184.40 ,,
901110000,"COFFEE, NOT ROASTED OR DECAFFEINATED",KGM,MALAYSIA, 4.00 , 61.57 ,,
902300000,"BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF <=3KG",KGM,MALAYSIA, 0.40 , 61.48 ,,
902400000,"BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >3KG",KGM,MALAYSIA, 0.30 , 322.70 ,,
902400000,"BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >3KG",KGM,SRI LANKA, 2.00 , 92.19 ,,
904110000,DRIED PEPPER (EXCL. CRUSHED OR GROUND),KGM,SRI LANKA, 0.50 , 215.11 ,,
904220010,CHILLIES (POWDER),KGM,MALAYSIA, 0.60 , 92.32 ,,
904220010,CHILLIES (POWDER),KGM,SRI LANKA, 39.30 ," 4,918.59 ",,
906190000,"OTHER CINNAMON-TREE FLOWERS, NEITHER CRUSHED NOR GROUND, NES.",KGM,MALAYSIA, 0.25 , 76.90 ,,
906200000,"CINNAMON AND CINNAMON-TREE FLOWERS, CRUSHED OR GROUND",KGM,SRI LANKA, 5.00 , 768.67 ,,
907100000,CLOVER (NEITHER CRUSHED NOR GROUND),KGM,SRI LANKA, 0.75 , 261.20 ,,
908310000,CARDAMOM (NEITHER CRUSHED NOR GROUND),KGM,SRI LANKA, 0.60 , 276.57 ,,
909310000,CUMIN SEED (NOT CRUSHED OR GROUND),KGM,SRI LANKA, 1.75 , 169.01 ,,
910300000,TURMERIC (CURCUMA),KGM,SRI LANKA, 14.60 ," 4,186.97 ",,
910910000,SPICE MIXTURES,KGM,AUSTRALIA, 2.30 , 138.35 ,,
910990013,GARLIC PASTE,KGM,SRI LANKA, 1.60 , 122.95 ,,
910990014,CURRY & CURRY POWDER.,KGM,AUSTRALIA, 7.42 , 614.65 ,,
910990014,CURRY & CURRY POWDER.,KGM,MALAYSIA, 135.49 ," 7,994.63 ",,
910990014,CURRY & CURRY POWDER.,KGM,SINGAPORE, 0.30 ," 1,384.88 ",,
910990014,CURRY & CURRY POWDER.,KGM,SRI LANKA, 10.70 ," 1,529.33 ",,
1003900000,BARLEY EXCL SEED,KGM,MALAYSIA, 0.20 , 245.87 ,,
1004900000,OAT EXCL SEED,KGM,SRI LANKA, 0.50 , 122.92 ,,
1006300010,BASMATI RICE.,KGM,SRI LANKA, 72.00 ," 2,162.64 ",,
1006300099,RICE (NOT SPECIFIED).,KGM,SRI LANKA, 2.75 , 399.49 ,,
1008900000,"OTHER CEREAL, NES",KGM,SRI LANKA, 2.27 , 46.10 ,,
1101000010,WHEAT FLOUR,KGM,SRI LANKA, 12.06 , 460.95 ,,
1101000011,ATTA FLOUR,KGM,SRI LANKA, 2.00 , 92.19 ,,
1102200000,MAIZE (CORN) FLOUR,KGM,SRI LANKA, 1.00 , 15.36 ,,
1103110010,SEMOLINA,KGM,SRI LANKA, 0.50 , 30.73 ,,
1103190013,MEAL OF OAT,KGM,SRI LANKA, 0.68 , 92.19 ,,
1202420000,"GROUND NUTS, NOT ROASTED OR OTHERWISE COOKED (SHELLED WHETHER OR NOT BROKEN)",KGM,SRI LANKA, 6.50 ," 1,367.47 ",,
1207990000,OIL SEEDS AND OLEAGINOUS FRUITS NES IN HEADING 12.07 (WHETHER OR NOT BROKEN) ,KGM,SRI LANKA, 0.25 , 122.92 ,,
1211900010,HERBAL MEDICINE,KGM,SOUTH AFRICA, 4.00 , 61.46 ,,
1211900013,HERB (SINGLE SPECIES),KGM,MALAYSIA, 0.10 , 107.57 ,,
1212990000,"VEGETABLE PRODUCTS USED PRIMARILY FOR HUMAN CONSUMPTION NES(FRESH,CHILLED,FROZEN,DRIED)",KGM,SRI LANKA, 0.15 , 76.82 ,,
1404909014,DRINKING STRAW OF VEGETABLE MATERIAL,NMB,SOUTH AFRICA, 1.00 , 153.65 ,,
1404909098,OTHER VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED,NMB,MALAYSIA, 14.00 , 322.94 ,,
1509100010,VIRGIN OLIVE OIL IN PLASTIC PACKAGING,LTR,SRI LANKA, 44.90 ," 3,871.98 ",,
1509100020,VIRGIN OLIVE OIL IN PACKAGING OTHER THAN PLASTICS,LTR,SRI LANKA, 1.00 , 153.65 ,,
1512190010,SUNFLOWER-SEED AND SAFFLOWER OIL (EXCLUDING CRUDE) AND FRACTIONS IN PLASTIC PACKAGING,LTR,SRI LANKA, 7.60 , 353.40 ,,
1513190010,COCONUT (COPRA) OIL (EXCL. CRUDE) & FRACTIONS REFINED OR NOT IN PLASTIC PACKAGING,LTR,SRI LANKA, 0.40 , 184.38 ,,
1515500010,SESAME OIL AND ITS FRACTIONS IN PLASTIC PACKAGING,LTR,SRI LANKA, 0.50 , 61.46 ,,
1515900018,"OTHER FIXED VEGETABLE FATS & OIL USED FOR CULINERY PURPOSE, NES, IN PLASTIC PACKAGING",LTR,SRI LANKA, 12.22 , 845.08 ,,
1517109000,"MARGARINE, NES (NOT CONTAINING PORK OR ALCOHOL)",KGM,SRI LANKA, 1.00 , 460.95 ,,
1602500010,"BEEF (PREPARED,PRESERVED)",KGM,MALAYSIA," 6,650.00 "," 1,157.76 ",,
1603001010,FISH PASTE,KGM,AUSTRALIA, 33.34 ," 2,575.72 ",,
1603001010,FISH PASTE,KGM,MALAYSIA, 401.05 ," 12,685.78 ",,
1603001010,FISH PASTE,KGM,SINGAPORE, 0.75 , 224.07 ,,
1603001010,FISH PASTE,KGM,SRI LANKA, 114.70 ," 9,161.32 ",,
1604110000,PREPARED OR PRESERVED SALMON (EXCL. MINCED),KGM,SRI LANKA, 2.13 , 307.30 ,,
1604130010,"SARDINE (PREPARED, PRESERVED)",KGM,SRI LANKA, 3.20 , 537.76 ,,
1604130011,"SPRAT (PREPARED, PRESERVED)",KGM,MALAYSIA, 3.40 , 291.89 ,,
1604130011,"SPRAT (PREPARED, PRESERVED)",KGM,SRI LANKA, 7.60 , 829.85 ,,
1604130011,"SPRAT (PREPARED, PRESERVED)",KGM,SWITZERLAND, 0.70 , 268.73 ,,
1604130011,"SPRAT (PREPARED, PRESERVED)",KGM,UNITED ARAB EMIRATES, 14.40 ," 4,431.60 ",,
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,GREAT BRITAIN," 16,800.00 "," 1,130,981.25 ",,
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,MALAYSIA, 521.44 ," 41,059.40 ",,
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,SRI LANKA, 576.00 ," 7,799.92 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,CANADA, 34.00 , 522.50 ,,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,FINLAND," 43,598.40 "," 3,028,274.54 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,FRANCE, 49.60 , 610.49 ,,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GERMANY," 3,199,165.18 "," 214,784,988.13 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GREAT BRITAIN," 1,869,536.07 "," 129,332,917.32 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,ITALY, 6.20 , 76.32 ,,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,LIBYAN ARAB JAMAHIRIYA," 29,392.00 "," 2,067,391.53 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,MALAYSIA," 142,737.21 "," 1,689,110.28 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,NEPAL, 103.68 ," 7,444.25 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,NETHERLANDS," 1,215,354.24 "," 48,086,587.95 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,NORWAY," 102,412.44 "," 7,169,183.18 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,POLAND, 2.22 , 34.12 ,,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SRI LANKA, 142.90 ," 4,825.80 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SWITZERLAND," 207,261.20 "," 14,103,503.84 ",,
