MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2018 ,,,* Subjected to Post Modification,, Updated on :  04/07/2019 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED ARAB EMIRATES," 79,982.43 "," 3,771,905.07 "
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,GERMANY, 14.44 , 444.54 
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,PHILIPPINES, 60.96 , 938.63 
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,CANADA," 1,130.00 "," 34,790.93 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,JAPAN, 452.00 ," 47,297.96 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,UNITED STATES," 71,853.25 "," 6,319,867.63 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,FRANCE, 501.00 ," 51,147.42 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,NETHERLANDS, 297.00 ," 9,150.57 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,THAILAND," 12,508.00 "," 362,762.52 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,SINGAPORE, 583.00 ," 17,955.99 "
302390000,"FRESH OR CHILLED TUNAS, NES",KGM,UNITED STATES, 346.80 ," 21,349.01 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,JAPAN, 297.00 ," 9,147.60 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,THAILAND," 1,046.00 "," 32,216.80 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,UNITED STATES," 11,496.50 "," 515,557.24 "
302890010,FRESH OR CHILLED GROUPER,KGM,CANADA, 430.77 ," 13,267.93 "
302890010,FRESH OR CHILLED GROUPER,KGM,HONG KONG," 248,784.26 "," 9,697,673.79 "
302890010,FRESH OR CHILLED GROUPER,KGM,RUSSIA, 13.10 ," 1,789.00 "
302890010,FRESH OR CHILLED GROUPER,KGM,TAIWAN," 620,236.93 "," 32,614,427.23 "
302890010,FRESH OR CHILLED GROUPER,KGM,UNITED ARAB EMIRATES, 6.37 , 196.20 
302890010,FRESH OR CHILLED GROUPER,KGM,UNITED STATES, 77.99 ," 2,401.48 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,CANADA, 121.61 ," 3,745.79 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,UNITED ARAB EMIRATES, 16.35 , 503.58 
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,SRI LANKA, 250.00 ," 19,638.18 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,FRANCE, 56.90 ," 1,752.24 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,HONG KONG, 23.40 , 360.24 
302890013,REEF FISH (FRESH OR CHILLED),KGM,UNITED STATES, 987.26 ," 30,405.95 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,PHILIPPINES, 10.50 , 161.67 
302890013,REEF FISH (FRESH OR CHILLED),KGM,CANADA," 1,614.17 "," 49,718.66 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,RUSSIA, 492.06 ," 73,627.97 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,SRI LANKA," 1,094.76 "," 37,090.73 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES, 276.11 ," 8,502.36 "
303410000,FROZEN ALBACORE OR LONGFINNED TUNAS,KGM,VIETNAM," 24,746.01 "," 1,033,706.60 "
303410000,FROZEN ALBACORE OR LONGFINNED TUNAS,KGM,SRI LANKA," 3,210.00 "," 49,409.92 "
