MALDIVES CUSTOMS SERVICE,,,,,
 Statistics and Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2024 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 26/1/2025 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
302890010,FRESH OR CHILLED GROUPER,KGM,TAIWAN," 417,241 "," 13,726,663 "
302890010,FRESH OR CHILLED GROUPER,KGM,UNITED STATES," 1,045 "," 32,165 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,GREAT BRITAIN, 140 ," 1,079 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,HONG KONG, 42 ," 1,295 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,SRI LANKA," 1,000 "," 7,703 "
302991000,"OTHER FRESH OR CHILLED EDIBLE OFFAL OF TUNA, NES",KGM,ITALY, 5 , 365 
303420000,YELLOWFIN TUNA (FROZEN),KGM,COSTA RICA," 75,076 "," 2,218,481 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,FRANCE," 11,000 "," 84,618 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,MAURITIUS," 27,001 "," 628,652 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 325,673 "," 8,697,396 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 256,811 "," 1,976,984 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA, 3 , 2 
303420000,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 5,832,601 "," 142,746,882 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,TURKEY," 59,536 "," 1,682,219 "
303420000,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 318,555 "," 5,714,621 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,CANADA, 16 , 251 
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,COSTA RICA," 388,518 "," 11,853,955 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,JAPAN," 99,671 "," 1,616,742 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,MAURITIUS," 503,551 "," 13,307,794 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,SPAIN," 38,801 "," 298,569 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,THAILAND," 18,724,141 "," 349,307,662 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,TURKEY," 131,007 "," 3,662,349 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,VIETNAM," 2,420,442 "," 47,534,672 "
303890010,FROZEN GROUPER,KGM,SRI LANKA," 18,764 "," 554,917 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 5 , 491 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 1,754 "," 154,125 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GREAT BRITAIN, 3 , 140 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 74 ," 3,869 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,MALAYSIA, 151 ," 15,107 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SRI LANKA, 10 , 25 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND, 278 ," 39,076 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,BELGIUM," 97,987 "," 2,312,062 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CANADA, 10 , 877 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CYPRUS, 607 ," 4,673 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 248,184 "," 23,436,331 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GERMANY," 135,356 "," 7,886,963 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GREAT BRITAIN," 8,631 "," 173,662 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,HONG KONG, 149 ," 32,675 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ITALY," 38,893 "," 3,529,709 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,JAPAN, 9 , 70 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 125 ," 1,145 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 6,027 "," 386,416 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,POLAND," 25,640 "," 2,695,469 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,PORTUGAL, 93 ," 19,937 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SINGAPORE, 39 ," 9,509 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SPAIN, 544 ," 8,376 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SWITZERLAND," 31,067 "," 4,688,612 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND," 12,193 "," 1,016,214 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 9,993 "," 363,256 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 20,745 "," 472,991 "
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,SRI LANKA," 3,195 "," 24,570 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM, 387 ," 72,828 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CYPRUS, 612 ," 65,936 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 167,711 "," 17,302,717 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 234,324 "," 6,443,560 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 1,776 "," 25,529 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG, 9 ," 3,482 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 81,257 "," 8,862,965 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 48,265 "," 1,892,450 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 7,146 "," 781,407 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,QATAR," 1,242 "," 9,462 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN," 3,094 "," 83,773 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 188,703 "," 11,318,134 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 10,799 "," 1,641,210 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 7,790 "," 87,292 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE," 4,732 "," 674,991 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 2,436 "," 34,097 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,ITALY, 20 ," 2,936 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,MALAYSIA, 101 ," 10,082 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,NETHERLANDS, 10 , 847 
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,BAHRAIN, 6 , 712 
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 14 , 739 
304499013,REEF FISH LOIN (FRESH OR CHILLED),KGM,GERMANY, 9 , 106 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 7,226 "," 323,258 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 172 ," 1,443 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 225 ," 8,959 "
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,GERMANY, 3 , 157 
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,ITALY, 5 , 260 
304591099,"OTHER TUNA (FRESH OR CHILLED) FISH MEAT OTHER THAN FILLETS, NES",KGM,UNITED STATES," 20,402 "," 156,948 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,GERMANY, 18 , 139 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,PHILIPPINES," 27,150 "," 751,621 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,SPAIN," 2,425 "," 18,654 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 15,874 "," 122,110 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 125,728 "," 2,847,925 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,GERMANY," 73,864 "," 6,965,885 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,MONTENEGRO," 49,612 "," 1,661,918 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,NETHERLANDS," 96,000 "," 738,745 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,PHILIPPINES," 54,203 "," 1,500,946 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SERBIA," 108,051 "," 842,231 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SPAIN," 20,216 "," 1,536,197 "
