MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2022 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 25/01/2023 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED STATES," 409,951.88 "," 27,243,029.72 "
302330000,FRESH OR CHILLED  SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,CZECH REPUBLIC, 97.30 , 748.62 
302330000,FRESH OR CHILLED  SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,FRANCE, 18.00 ," 1,349.95 "
302330000,FRESH OR CHILLED  SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,GERMANY, 23.90 , 797.23 
302890010,FRESH OR CHILLED GROUPER,KGM,GERMANY, 15.00 , 115.41 
302890010,FRESH OR CHILLED GROUPER,KGM,HONG KONG," 499,082.87 "," 14,404,894.31 "
302890010,FRESH OR CHILLED GROUPER,KGM,KOREAN REPUBLIC OF, 36.70 ," 1,129.52 "
302890010,FRESH OR CHILLED GROUPER,KGM,SINGAPORE, 13.10 , 604.56 
302890010,FRESH OR CHILLED GROUPER,KGM,TAIWAN," 193,158.40 "," 6,272,524.41 "
302890010,FRESH OR CHILLED GROUPER,KGM,UNITED STATES, 312.00 ," 4,800.90 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,AZERBAIJAN, 7.88 , 84.93 
303420010,YELLOWFIN TUNA (FROZEN),KGM,FRANCE, 727.00 ," 33,576.50 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,HONG KONG," 54,000.00 "," 1,501,643.52 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN, 201.20 ," 4,584.63 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,MAURITIUS," 134,045.80 "," 3,589,125.94 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 11,062.00 "," 213,806.24 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SERBIA," 68,604.68 "," 519,377.98 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 390,625.05 "," 8,504,912.41 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA," 64,647.83 "," 497,317.47 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 4,032,943.60 "," 153,986,982.23 "
