Maldives Customs Service,,,,,,
TARIFF & STATISTICS SECTION,,,,,,
,,,,,,
,,,,,,
Total Exports In 2016,,,,Date 20/09/2017,,
,,,,,,
HS CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) ,RATE
305591010,Skipjack (Dried),KGM,CHINA, 12.00 ," 1,162.00 ",15
305591010,SKIPJACK (DRIED),KGM,Japan," 110,760.00 "," 16,736,521.94 ",15
305591010,SKIPJACK (DRIED),KGM,Sri Lanka," 1,629,691.87 "," 59,424,991.44 ",15
305591010,Skipjack (Dried),KGM,UNITED STATES," 1,153.00 "," 17,723.91 ",15
305591011,SKIPJACK (SALTED DRIED),KGM,Sri Lanka," 250,680.50 "," 7,435,608.49 ",15
305591019,"Bigeye Tuna(Salted,Dried)",KGM,GERMANY, 39.80 ," 6,881.91 ",15
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,Sri Lanka," 4,374.00 "," 235,518.77 ",15
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,Sri Lanka," 1,754.00 "," 70,908.25 ",15
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,Sri Lanka," 2,998.00 "," 120,341.63 ",0
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,Sri Lanka," 13,307.00 "," 719,799.08 ",0
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,Sri Lanka," 64,202.00 "," 2,191,252.53 ",0
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,Sri Lanka," 4,190.00 "," 149,869.37 ",0
305599014,"MARLIN (SALTED DRIED) ""THALAPATH""(HIBARU)",KGM,Sri Lanka," 267,004.50 "," 14,146,022.04 ",0
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,Sri Lanka," 8,272.00 "," 328,963.24 ",0
305599016,"GREEN JOB FISH (SALTED DRIED)""GUILA""(GIULHU)",KGM,Sri Lanka, 375.00 ," 15,222.93 ",0
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,Sri Lanka," 18,806.00 "," 325,937.01 ",0
305599022,BARRACUDA (SALTED DRIED) HABARALY,KGM,Sri Lanka," 5,575.00 "," 88,556.61 ",0
308190011,SEA CUCUMBER (DRIED),KGM,Hong Kong," 74,909.40 "," 2,716,591.61 ",0
308190011,SEA CUCUMBER (DRIED),KGM,Malaysia," 1,323.00 "," 31,268.87 ",0
308190011,SEA CUCUMBER (DRIED),KGM,Singapore," 7,486.65 "," 426,120.31 ",0
308190011,SEA CUCUMBER (DRIED),KGM,Sri Lanka," 34,887.03 "," 2,358,467.39 ",0
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,Bahrain, 230.00 ," 51,414.53 ",0
802909099,Nuts (Fresh Or Dried) Not Specified,KGM,QATAR, 350.00 ," 50,727.27 ",0
802909099,Nuts (Fresh Or Dried) Not Specified,KGM,UNITED ARAB EMIRATES, 100.00 ," 7,687.50 ",0
1513190000,"Coconut (Copra) Oil (Excl.Crude) &Its Fractions,Refined/Not, Not Chemically Modf",LTR,SEYCHELLES, 78.00 ," 50,372.29 ",0
1603001010,Fish Paste,KGM,CHINA, 45.60 ," 5,774.51 ",15
1603001010,Fish Paste,KGM,SAUDI ARABIA, 2.26 , 34.72 ,15
1604140011,"Skipjack (Prepared, Preserved)",KGM,BELGIUM, 14.40 , 30.70 ,15
1604140011,"Skipjack (Prepared, Preserved)",KGM,CHINA," 29,435.00 "," 810,853.93 ",15
1604140011,"Skipjack (Prepared, Preserved)",KGM,FINLAND," 46,872.00 "," 3,695,567.59 ",15
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Germany," 1,087,905.80 "," 85,034,579.48 ",15
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Great Britain," 288,432.80 "," 23,563,181.99 ",15
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Ireland," 1,264,198.00 "," 95,227,819.33 ",15
1604140011,"Skipjack (Prepared, Preserved)",KGM,NETHERLANDS," 31,974.06 "," 2,379,608.28 ",15
1604140011,"Skipjack (Prepared, Preserved)",KGM,SAUDI ARABIA, 80.56 , 107.52 ,15
1604140011,"Skipjack (Prepared, Preserved)",KGM,SRI LANKA," 2,664.00 "," 212,106.00 ",15
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Switzerland," 197,610.00 "," 17,459,909.54 ",15
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,United States," 31,622.40 "," 2,291,490.00 ",15
1604140013,Skipjack Loins (Steamed),KGM,SPAIN," 12,000.00 "," 1,087,842.00 ",15
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,Germany," 17,304.00 "," 1,418,528.38 ",15
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,Ireland," 4,260.00 "," 349,433.60 ",15
1604140014,"Yellowfin Tuna (Canned, Prepared & Preserved)",KGM,PHILIPPINES," 32,640.00 "," 3,997,737.00 ",15
1604140014,"Yellowfin Tuna (Canned, Prepared & Preserved)",KGM,SAUDI ARABIA, 3.21 , 49.32 ,15
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Bangladesh," 222,000.00 "," 3,706,060.15 ",25
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Sri Lanka," 330,000.00 "," 5,033,264.30 ",25
2505900014,"NATURAL SAND (EXCL, RIVER SAND)",TNE,China, 0.50 , 768.75 ,0
2521000000,LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE,KGM,China, 150.00 , 230.62 ,0
2710990000,"WASTE OIL, NES",TNE,India, 68.60 ," 192,208.25 ",0
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,India," 145,000.00 "," 234,478.12 ",20
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,New Taiwan," 202,588.00 "," 1,006,384.93 ",20
3924900010,"Household And Toilet Articles Of Plastics, Nes",NMB,HONG KONG, 5.00 ," 4,932.16 ",20
3926909010,"ARTICLES OF PLASTIC,NES",NMB,China," 1,500.00 "," 3,843.13 ",20
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Great Britain," 1,000.00 "," 4,614.00 ",20
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Italy, 400.00 ," 1,845.60 ",20
3926909013,"ARTICLES OF PLASTIC,NES",KGM,New Taiwan," 21,000.00 "," 46,749.38 ",20
4016990011,RUBBER BAND,KGM,China," 1,000.00 "," 1,537.25 ",20
4017000010,"ARTICLES OF HARD RUBBER,NES",NMB,China, 200.00 ," 3,076.00 ",20
4017000010,"ARTICLES OF HARD RUBBER,NES",NMB,Italy, 400.00 , 615.20 ,20
4823900014,WASTE PAPER,KGM,India," 300,000.00 "," 401,612.83 ",0
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,China, 600.00 ," 1,844.70 ",0
4901990012,PRINTED BOOKS (OTHER THAN EDUCATIONAL),NMB,China, 440.00 ," 2,337.22 ",0
4901990012,PRINTED BOOKS (OTHER THAN EDUCATIONAL),NMB,Great Britain," 1,800.00 "," 5,536.80 ",0
4901990012,PRINTED BOOKS (OTHER THAN EDUCATIONAL),NMB,Italy, 300.00 , 922.80 ,0
4901990099,"PRINTED BOOKS,BROCHURES,LEAFLETS & SIMILAR PRINTED MATTER (EXCL.SINGLE SHEET),NES",NMB,Great Britain," 3,000.00 "," 7,690.00 ",0
4901990099,"PRINTED BOOKS,BROCHURES,LEAFLETS & SIMILAR PRINTED MATTER (EXCL.SINGLE SHEET),NES",NMB,Italy," 2,200.00 "," 4,460.20 ",0
4901990099,"Printed Books,Brochures,Leaflets & Similar Printed Matter (Excl.Single Sheet),Nes",NMB,SAUDI ARABIA, 110.00 , 15.36 ,0
4911100000,"TRADE ADVERTISING MATERIAL, COMMERCIAL CATALOGUES AND THE LIKE",NMB,China, 650.00 ," 9,997.00 ",0
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,China, 100.00 , 384.31 ,0
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,Great Britain, 100.00 , 307.60 ,0
6210400010,"SARONG (MUNDU) & LUNGIES (ANNA FOTHIGAN'DU),NOT KNITTED OR CROCHETED",NMB,China, 25.00 , 76.86 ,0
6210400010,"SARONG (MUNDU) & LUNGIES (ANNA FOTHIGAN'DU),NOT KNITTED OR CROCHETED",NMB,Italy, 20.00 , 61.52 ,0
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,China," 5,640.00 "," 25,215.70 ",15
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,Great Britain," 2,500.00 "," 7,690.00 ",15
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,Italy," 1,700.00 "," 5,229.20 ",15
6505000000,"HATS & OTHER HEADGEAR,KNITTED OR CROCHETED, MADE FROM LACE,ETC;HAIR-NETS OF ANY MATERIAL",NMB,Great Britain, 100.00 , 153.80 ,15
6601991010,UMBRELLA,NMB,China, 40.00 , 615.20 ,15
6601991010,UMBRELLA,NMB,Great Britain, 200.00 , 769.00 ,15
6601991010,UMBRELLA,NMB,Italy, 20.00 , 76.90 ,15
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,India," 7,048,000.00 "," 12,244,979.05 ",5
7204290000,Waste And Scrap Of Alloy Steel (Excl. Stainless),KGM,UNITED ARAB EMIRATES," 150,000.00 "," 276,660.00 ",5
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,China, 125.00 ," 1,922.50 ",10
7404000000,COPPER WASTE AND SCRAP,KGM,India," 145,005.00 "," 9,031,758.24 ",10
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,India," 113,500.00 "," 1,845,030.58 ",10
8471700012,PEN DRIVE,NMB,China, 20.00 , 307.60 ,0
8471700012,PEN DRIVE,NMB,Italy, 400.00 ," 1,538.00 ",0
8505110000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS OF METAL,NMB,China, 520.00 ," 2,613.48 ",20
8506800012,BATTERY WASTE,TNE,Korean Republic of, 425.00 ," 5,470,424.37 ",20
9503000099,"TOYS, NES.",NMB,China, 550.00 ," 2,690.56 ",0
9503000099,"TOYS, NES.",NMB,Great Britain, 800.00 ," 1,999.40 ",0
9608100000,BALL-POINT PENS,NMB,China," 2,206.00 "," 6,242.78 ",10
9608100000,BALL-POINT PENS,NMB,Great Britain," 1,060.00 "," 1,676.42 ",10
9608100000,BALL-POINT PENS,NMB,Italy, 300.00 , 461.40 ,10
9609100012,PENCIL,NMB,China," 1,600.00 "," 10,765.25 ",10
9609100012,PENCIL,NMB,Great Britain," 2,000.00 "," 3,076.00 ",10
9609100012,PENCIL,NMB,Italy, 300.00 , 461.40 ,10
,,,," 57,269,909.24 "," 2,145,584,690.48 ",
