MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,SRI LANKA," 2,232.00 "," 56,130.48 "
305591010,SKIPJACK (DRIED),KGM,BAHRAIN, 450.00 ," 1,538.40 "
305591010,SKIPJACK (DRIED),KGM,CAMBODIA, 30.00 ," 3,694.20 "
305591010,SKIPJACK (DRIED),KGM,JAPAN," 208,549.00 "," 32,202,432.53 "
305591010,SKIPJACK (DRIED),KGM,SRI LANKA," 972,583.34 "," 27,403,239.60 "
305591011,SKIPJACK (SALTED DRIED),KGM,SRI LANKA," 146,082.75 "," 3,474,986.22 "
305591014,"BELLY FLAP (YELLOWFIN TUNA) SALTED, DRIED",KGM,JAPAN, 33.00 ," 1,396.10 "
305591017,"BELLYFLAP ( BIGEYE TUNA) SALTED,DRIED",KGM,JAPAN, 16.00 , 677.27 
305591018,YELLOWFIN TUNA (SALTED DRIED),KGM,SRI LANKA," 2,005.00 "," 46,554.43 "
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,SRI LANKA," 4,769.00 "," 92,151.44 "
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,SRI LANKA, 975.00 ," 41,316.56 "
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,SRI LANKA," 55,048.00 "," 1,223,881.04 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,SRI LANKA," 7,337.00 "," 480,847.86 "
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,SRI LANKA," 59,551.25 "," 1,769,110.74 "
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,SRI LANKA," 4,075.00 "," 173,470.99 "
305599014,"MARLIN (SALTED DRIED) ""THALAPATH""(HIBARU)",KGM,SRI LANKA," 169,726.25 "," 6,327,803.31 "
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,SRI LANKA," 5,292.00 "," 214,303.36 "
305599016,"GREEN JOB FISH (SALTED DRIED)""GUILA""(GIULHU)",KGM,SRI LANKA," 3,075.00 "," 137,300.14 "
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,SRI LANKA," 42,819.00 "," 765,129.86 "
305599022,BARRACUDA (SALTED DRIED) HABARALY,KGM,SRI LANKA, 525.00 ," 24,149.71 "
305599023,GROUPER(SALTED DRIED),KGM,SRI LANKA, 275.00 ," 11,549.25 "
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,HONG KONG, 48.00 ," 29,804.72 "
308120000,SEA CUCUMBER (FROZEN),KGM,SINGAPORE, 500.00 ," 192,437.50 "
308120000,SEA CUCUMBER (FROZEN),KGM,SRI LANKA, 504.50 ," 38,833.89 "
308190010,"SEA CUCUMBER (FROZEN,SMOKED,SALTED OR IN BRINE)",KGM,HONG KONG, 26.45 ," 32,586.40 "
308190011,SEA CUCUMBER (DRIED),KGM,HONG KONG," 73,789.33 "," 4,193,488.90 "
308190011,SEA CUCUMBER (DRIED),KGM,MALAYSIA," 1,595.90 "," 1,086,090.60 "
308190011,SEA CUCUMBER (DRIED),KGM,SINGAPORE," 2,972.30 "," 760,091.59 "
308190011,SEA CUCUMBER (DRIED),KGM,SRI LANKA," 20,035.31 "," 2,781,502.68 "
308190011,SEA CUCUMBER (DRIED),KGM,UNITED STATES, 37.85 ," 66,422.34 "
508000012,CORAL ( UNWORKED ),KGM,GREAT BRITAIN, 9.00 ," 1,385.55 "
602900010,"OTHER LIVE PLANTS , NES",NMB,UNITED ARAB EMIRATES, 30.00 ," 46,200.00 "
801190000,"COCONUTS, EXCLUDING DESICCATED",KGM,PAKISTAN, 100.00 , 615.80 
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,BAHRAIN," 1,369.00 "," 350,860.50 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,CHINA, 88.80 ," 5,896.20 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,FINLAND," 27,162.80 "," 2,421,040.55 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,FRANCE," 12,000.00 "," 1,339,365.00 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GERMANY," 1,119,051.40 "," 88,041,464.97 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GREAT BRITAIN," 1,188,706.72 "," 85,972,508.42 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,IRELAND," 1,688,754.08 "," 129,492,320.19 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,NETHERLANDS," 114,240.00 "," 7,326,184.00 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SRI LANKA," 2,150.00 "," 99,330.00 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SWITZERLAND," 294,333.00 "," 26,416,516.41 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,UNITED STATES," 61,834.24 "," 5,021,617.33 "
1604140013,SKIPJACK LOINS (STEAMED),KGM,FRANCE," 96,000.00 "," 10,704,732.60 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GREAT BRITAIN," 150,984.00 "," 9,250,466.62 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SINGAPORE," 9,936.00 "," 523,430.00 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,UNITED STATES," 130,826.20 "," 10,480,494.30 "
1605610000,"SEA CUCUMBERS(PREPARED,PRESERVED)",KGM,HONG KONG, 120.00 ," 221,760.00 "
2008990000,"OTHER FRUIT, ETC, PREPARED OR PRESERVED, NES",KGM,HONG KONG, 0.45 , 110.65 
2201100099,MINERAL WATER,LTR,JAPAN, 4.50 , 123.17 
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,BANGLADESH," 788,750.00 "," 10,548,560.95 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,HUNGARY," 3,000.00 "," 92,400.00 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,INDIA," 76,000.00 "," 934,344.00 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,SRI LANKA," 1,039,154.00 "," 14,171,174.10 "
2505900014,"NATURAL SAND (EXCL, RIVER SAND)",TNE,GERMANY, 0.04 , 9.22 
2505900014,"NATURAL SAND (EXCL, RIVER SAND)",TNE,UNITED ARAB EMIRATES, 0.23 , 485.10 
2505900015,WHITE SAND,TNE,UNITED ARAB EMIRATES, 0.60 ," 2,845.99 "
2710990000,"WASTE OIL, NES",TNE,SRI LANKA, 0.02 ," 45,261.30 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,INDIA," 80,000.00 "," 98,444.80 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,NEW TAIWAN," 341,450.00 "," 741,375.08 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,SRI LANKA," 13,000.00 "," 49,944.38 "
3923100000,"BOXES, CASES, CRATES AND SIMILAR ARTICLES OF PLASTICS",NMB,UNITED STATES, 13.20 , 203.18 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,FRANCE, 10.00 , 30.80 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,ITALY, 10.00 , 30.80 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,CHINA, 500.00 ," 1,536.75 "
3926909010,"ARTICLES OF PLASTIC,NES",NMB,GERMANY," 2,550.00 "," 4,771.72 "
3926909010,"ARTICLES OF PLASTIC,NES",NMB,INDIA, 200.00 , 307.35 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,SPAIN, 550.00 , 84.58 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,SWITZERLAND, 600.00 ," 2,229.81 "
4016990011,RUBBER BAND,KGM,FRANCE, 12.00 , 462.00 
4016990011,RUBBER BAND,KGM,ITALY, 32.00 ," 1,232.00 "
4016990011,RUBBER BAND,KGM,MALAYSIA, 400.00 ," 1,230.72 "
4016990012,"OTHER ARTICLES MADE OF VULCANISED RUBBER, OTHER THAN HARD RUBBER",NMB,GERMANY, 200.00 , 614.70 
4016990012,"OTHER ARTICLES MADE OF VULCANISED RUBBER, OTHER THAN HARD RUBBER",NMB,SINGAPORE, 6.00 ," 2,771.10 "
4017000010,"ARTICLES OF HARD RUBBER,NES",NMB,CHINA, 500.00 , 768.38 
4017000010,"ARTICLES OF HARD RUBBER,NES",NMB,GERMANY," 1,800.00 "," 2,766.15 "
4017000010,"ARTICLES OF HARD RUBBER,NES",NMB,INDIA," 1,000.00 "," 3,073.50 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,FRANCE," 2,000.00 "," 6,160.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,GERMANY," 3,000.00 ", 461.34 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,ITALY," 2,000.00 "," 6,160.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,MALAYSIA, 400.00 ," 1,230.72 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,SPAIN," 3,500.00 ", 538.23 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,SWITZERLAND," 2,000.00 "," 6,151.20 "
4415200000,"PALLETS, BOX PALLETS AND OTHER LOAD BOARDS OF WOOD; PALLET COLLARS OF WOOD",NMB,BAHRAIN, 1.00 , 769.20 
4707300000,RECOVERED (WASTE/SCRAP) PAPER OR PAPERBOARD MADE MAINLY OF MECHANICAL PULP,KGM,INDIA," 200,000.00 "," 224,671.60 "
4819100000,"CARTONS, BOXES AND CASES, OF CORRUGATED PAPER OR PAPERBOARD",NMB,UNITED STATES, 13.20 , 203.07 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, OF PAPER, PAPERBOARD",NMB,FRANCE, 50.00 , 154.00 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, OF PAPER, PAPERBOARD",NMB,GERMANY, 150.00 , 461.03 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, OF PAPER, PAPERBOARD",NMB,ITALY, 100.00 , 308.00 
4823690000,"TRAYS, DISHES, PLATES AND CUPS, ETC, OF PAPER OR PAPERBOARD, NES.",NMB,GERMANY, 100.00 , 307.35 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,CHINA," 1,700.00 "," 5,224.95 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,FRANCE," 2,600.00 "," 8,008.00 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,GERMANY," 8,250.00 "," 20,538.84 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,GREAT BRITAIN," 7,297.00 "," 1,218,745.14 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,INDIA," 2,300.00 "," 7,069.05 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,ITALY," 3,150.00 "," 9,702.00 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,MALAYSIA," 2,800.00 "," 8,615.04 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SPAIN," 2,100.00 ", 322.94 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SWITZERLAND, 600.00 ," 1,845.36 "
4905990011,MAP OF PAPER,NMB,INDIA," 1,000.00 "," 3,073.50 "
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,GERMANY, 600.00 ," 1,844.10 "
4911100000,"TRADE ADVERTISING MATERIAL, COMMERCIAL CATALOGUES AND THE LIKE",NMB,INDIA, 500.00 , 768.38 
4911100000,"TRADE ADVERTISING MATERIAL, COMMERCIAL CATALOGUES AND THE LIKE",NMB,SPAIN, 100.00 , 15.38 
5407200010,GEOTEXTILE (WOVEN FABRICS OF SYNTHETIC FILAMENT),MTK,UNITED ARAB EMIRATES, 14.00 , 862.40 
5608110010,FISHING NET,NMB,SRI LANKA, 100.00 ," 1,538.50 "
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,GERMANY, 200.00 , 322.73 
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,INDIA, 100.00 , 307.35 
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,SPAIN, 100.00 , 15.38 
6109100010,"T-SHIRT, KNITTED OR CROCHETED OF COTTON",NMB,SWITZERLAND, 40.00 , 123.02 
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,CHINA," 2,000.00 "," 6,147.00 "
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,GERMANY," 9,000.00 "," 27,661.50 "
6305900010,BAG OF OTHER TEXTILE MATERIALS,NMB,INDIA," 1,500.00 "," 4,610.25 "
6307909013,FLAG OF TEXTILE MATERIALS,NMB,GREAT BRITAIN, 2.00 , 15.38 
6601991010,UMBRELLA,NMB,CHINA, 50.00 , 153.68 
6601991010,UMBRELLA,NMB,GERMANY, 200.00 , 468.72 
6601991010,UMBRELLA,NMB,INDIA, 100.00 , 384.19 
6601991010,UMBRELLA,NMB,SPAIN, 50.00 , 7.69 
6601991010,UMBRELLA,NMB,SWITZERLAND, 100.00 , 307.56 
7117190012,BROOCH OF BASE METAL WEHTHER OR NOT PLATED,NMB,ITALY," 1,000.00 "," 3,850.00 "
7117190019,CHAIN BELT (IRON OR STEEL),MTR,SINGAPORE, 2.00 , 30.80 
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,INDIA," 12,112,200.00 "," 24,740,140.87 "
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,MALAYSIA," 50,000.00 "," 61,580.00 "
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,SRI LANKA," 27,000.00 "," 41,526.60 "
7307910000,FLANGES OF IRON OR STEEL (EXCL. STAINLESS),NMB,SINGAPORE, 4.00 , 61.60 
7312900011,CABLE OF IRON OR STEEL  (OTHER THAN STRANDED),MTR,SINGAPORE, 38.00 , 585.20 
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,CHINA," 1,500.00 "," 5,762.81 "
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,FRANCE," 1,000.00 "," 3,850.00 "
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,GERMANY," 1,200.00 "," 4,610.26 "
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,INDIA, 500.00 ," 2,305.12 "
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,ITALY," 1,000.00 "," 1,925.00 "
7404000000,COPPER WASTE AND SCRAP,KGM,INDIA," 216,800.00 "," 13,050,764.33 "
7407101000,RODS OF COPPER,KGM,SINGAPORE, 39.00 , 600.60 
7412200000,TUBE OR PIPE FITTINGS OF COPPER ALLOYS,NMB,SINGAPORE, 27.00 , 415.80 
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,INDIA," 206,200.00 "," 2,640,692.30 "
8305900010,CLIPS OF BASE METAL,NMB,SINGAPORE, 34.00 , 523.60 
8306290012,TROPHY OF BASE METAL,NMB,GREAT BRITAIN, 40.00 , 307.56 
8471700012,PEN DRIVE,NMB,CHINA, 100.00 , 307.35 
8471700012,PEN DRIVE,NMB,FRANCE, 100.00 , 308.00 
8471700012,PEN DRIVE,NMB,GERMANY, 300.00 , 922.05 
8471700012,PEN DRIVE,NMB,ITALY, 100.00 , 308.00 
8471700012,PEN DRIVE,NMB,MALAYSIA, 100.00 , 307.68 
8471700012,PEN DRIVE,NMB,SPAIN, 200.00 , 30.76 
8482109000,BALL BEARING,NMB,SINGAPORE, 20.00 , 308.00 
8483309000,"BEARING HOUSINGS, NES; PLAIN SHAFT BEARINGS",NMB,SINGAPORE, 2.00 , 30.80 
8505110000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS OF METAL,NMB,GERMANY, 100.00 , 15.38 
8505110000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS OF METAL,NMB,SPAIN, 500.00 , 76.89 
8506800011,BATTERY (USED),TNE,INDIA," 2,540.00 "," 2,075,538.38 "
8506800011,BATTERY (USED),TNE,KOREAN REPUBLIC OF, 75.00 ," 923,550.00 "
8516900000,PARTS OF ELECTRO-THERMIC APPLIANCES OF 85.16,NMB,SINGAPORE, 1.00 , 15.40 
8523490013,VIDEO CD,NMB,GERMANY, 100.00 , 461.02 
8523490013,VIDEO CD,NMB,GREAT BRITAIN, 35.00 ," 8,247.08 "
8536909013,"ELECTRICAL FITTINGS,NES",NMB,SINGAPORE, 3.00 , 46.20 
8548100000,"WASTE/SCRAP OF PRIMARY CELLS/BATTERIES/ACCUM;SPENT PRIMARY CELLS,BATTERIES",KGM,INDIA," 20,000.00 "," 246,280.00 "
8548100000,"WASTE/SCRAP OF PRIMARY CELLS/BATTERIES/ACCUM;SPENT PRIMARY CELLS,BATTERIES",KGM,KOREAN REPUBLIC OF," 150,000.00 "," 1,936,914.00 "
9020009099,PARTS OF BREATHING APPARATUS,NMB,GREAT BRITAIN, 150.00 ," 23,652.03 "
9401610000,"UPHOLSTERED SEATS, WITH WOODEN FRAMES",NMB,SRI LANKA, 1.00 ," 1,539.50 "
9503000099,"TOYS, NES.",NMB,CHINA," 1,000.00 "," 1,536.75 "
9503000099,"TOYS, NES.",NMB,FRANCE, 20.00 , 30.80 
9503000099,"TOYS, NES.",NMB,GERMANY," 2,600.00 "," 2,766.26 "
9503000099,"TOYS, NES.",NMB,INDIA, 500.00 , 768.38 
9503000099,"TOYS, NES.",NMB,ITALY, 20.00 , 30.80 
9503000099,"TOYS, NES.",NMB,MALAYSIA, 400.00 ," 1,230.72 "
9503000099,"TOYS, NES.",NMB,SPAIN," 1,000.00 ", 153.78 
9503000099,"TOYS, NES.",NMB,SWITZERLAND," 1,500.00 "," 2,306.70 "
9505900099,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT ARTICLES, NES",NMB,ITALY, 500.00 ," 2,310.00 "
9608100000,BALL-POINT PENS,NMB,CHINA," 1,520.00 "," 2,366.59 "
9608100000,BALL-POINT PENS,NMB,FRANCE," 1,000.00 "," 1,540.00 "
9608100000,BALL-POINT PENS,NMB,GERMANY," 2,800.00 "," 4,072.45 "
9608100000,BALL-POINT PENS,NMB,INDIA," 2,050.00 "," 3,188.76 "
9608100000,BALL-POINT PENS,NMB,ITALY, 500.00 , 770.00 
9608100000,BALL-POINT PENS,NMB,MALAYSIA, 400.00 , 615.36 
9608100000,BALL-POINT PENS,NMB,SPAIN, 550.00 , 84.58 
9608100000,BALL-POINT PENS,NMB,SWITZERLAND," 2,000.00 "," 3,075.60 "
9609100012,PENCIL,NMB,CHINA," 1,500.00 "," 6,915.38 "
9609100012,PENCIL,NMB,FRANCE," 1,000.00 "," 4,620.00 "
9609100012,PENCIL,NMB,GERMANY," 2,000.00 "," 6,992.26 "
9609100012,PENCIL,NMB,INDIA," 1,000.00 "," 1,536.75 "
9609100012,PENCIL,NMB,ITALY, 500.00 ," 2,310.00 "
9609100012,PENCIL,NMB,MALAYSIA, 400.00 ," 1,846.08 "
9609100012,PENCIL,NMB,SPAIN, 500.00 , 76.89 
9609100012,PENCIL,NMB,SWITZERLAND," 2,000.00 "," 9,226.80 "
,TOTAL,,,," 3,067,317,645.47 "
