MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,FRANCE," 7,743.00 "," 969,415.99 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,ITALY, 151.00 ," 4,646.27 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,JAPAN," 15,895.00 "," 1,004,058.08 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,NETHERLANDS, 531.10 ," 16,352.97 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,SINGAPORE, 795.00 ," 25,082.81 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,SRI LANKA," 20,850.50 "," 648,637.02 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,THAILAND," 142,276.00 "," 4,450,481.13 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,UNITED STATES," 207,374.15 "," 18,231,578.62 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,JAPAN," 54,119.00 "," 1,880,024.33 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,SRI LANKA, 974.00 ," 44,934.51 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,THAILAND," 10,142.00 "," 312,318.98 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,UNITED STATES," 76,350.55 "," 3,960,599.21 "
302890010,FRESH OR CHILLED GROUPER,KGM,CZECH REPUBLIC, 65.08 ," 2,001.02 "
302890010,FRESH OR CHILLED GROUPER,KGM,GERMANY, 97.03 ," 2,985.03 "
