MALDIVES CUSTOMS SERVICE,,,,,
Statistics & Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2023 ,,,* Subjected to Post Modification,, Updated on : 24/4/2024 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
303420010,YELLOWFIN TUNA (FROZEN),KGM,FRANCE," 81,492.67 "," 1,369,282.45 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,ITALY, 222.95 ," 3,431.76 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN," 12,200.00 "," 291,497.24 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,MAURITIUS," 27,104.00 "," 742,492.40 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 515,609.00 "," 13,654,338.03 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SERBIA," 20,000.00 "," 153,800.00 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 241,208.87 "," 7,350,201.96 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA," 35,325.00 "," 271,746.75 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 4,024,243.04 "," 103,706,523.53 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 487,562.35 "," 11,574,236.36 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,COSTA RICA," 132,618.67 "," 3,729,285.32 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,ECUADOR," 66,680.46 "," 513,150.66 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,HONG KONG," 50,269.00 "," 1,856,424.94 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,INDONESIA," 51,946.50 "," 1,127,386.94 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,JAPAN," 162,728.49 "," 2,827,453.69 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,MALAYSIA, 20.00 ," 1,077.02 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,MAURITIUS," 1,108,010.37 "," 23,013,447.12 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,SPAIN," 58,114.89 "," 1,752,296.91 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,THAILAND," 51,166,505.35 "," 1,220,096,454.35 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,TUNISIA," 26,600.40 "," 692,211.84 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,TURKEY," 108,136.30 "," 2,969,402.63 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,VIETNAM," 1,778,100.89 "," 33,702,940.06 "
303440010,BIGEYE TUNA (FROZEN),KGM,THAILAND," 243,535.00 "," 5,804,439.22 "
303890010,FROZEN GROUPER,KGM,VIETNAM," 5,078.22 "," 446,048.31 "
303991000,"OTHER FROZEN EDIBLE OFFAL OF TUNA, NES",KGM,GERMANY, 30.79 ," 2,130.01 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 809.00 ," 12,444.44 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 3,485.85 "," 299,397.05 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GREAT BRITAIN, 928.33 ," 42,854.03 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 474.06 ," 23,421.13 "
