MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2019 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 04/04/2020 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
301110000,LIVE FRESHWATER ORNAMENTAL FISH,NMB,Hong Kong, 241.60 ," 37,182.24 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Belgium," 2,060.00 "," 63,407.63 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,France," 4,479.00 "," 137,790.31 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Taiwan," 1,494.00 "," 11,491.01 "
302310000,FRESH OR CHILLED ALBACORE OR LONGFINNED TUNAS,KGM,Spain, 318.00 ," 9,788.04 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Brazil," 1,818.70 "," 111,925.71 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Canada," 35,190.80 "," 2,196,428.91 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,France," 737,602.15 "," 52,473,962.99 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Netherlands," 152,500.14 "," 4,886,370.27 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Philippines," 8,861.38 "," 282,745.79 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Poland, 696.90 ," 21,432.77 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Portugal, 929.00 ," 94,977.78 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Singapore, 978.40 ," 60,230.30 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Sri Lanka," 556,874.37 "," 22,477,096.11 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Thailand," 667,748.34 "," 21,358,051.13 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Thailand," 5,497.00 "," 169,167.53 "
302890010,FRESH OR CHILLED GROUPER,KGM,France, 6.20 , 190.77 
302890010,FRESH OR CHILLED GROUPER,KGM,Netherlands, 37.01 ," 1,139.37 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,Sri Lanka, 804.00 ," 49,358.37 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,Czech Republic, 65.10 ," 8,017.72 "
