MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2019 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 04/04/2020 
302890013,REEF FISH (FRESH OR CHILLED),KGM,Singapore, 581.65 ," 82,558.52 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Hong Kong," 108,000.00 "," 1,572,365.52 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Japan," 52,000.00 "," 1,200,576.00 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,United States," 189,054.00 "," 21,774,995.20 "
303540099,FROZEN MACKEREL USED AS BAIT,KGM,Malaysia," 27,000.00 "," 373,539.60 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Thailand, 494.48 ," 21,791.65 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,Sri Lanka," 197,912.02 "," 4,071,121.66 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,Thailand," 6,565.03 "," 317,824.76 "
303890010,FROZEN GROUPER,KGM,Singapore, 135.97 ," 25,094.62 "
303890099,FROZEN REEF FISH NES,KGM,Serbia, 60.00 ," 9,080.97 "
303890099,FROZEN REEF FISH NES,KGM,Taiwan," 2,535.38 "," 38,994.15 "
303890099,FROZEN REEF FISH NES,KGM,Vietnam," 10,716.52 "," 199,182.91 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Canada," 1,282.56 "," 83,100.23 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Hong Kong, 892.33 ," 54,301.66 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Italy," 1,146.83 "," 89,572.15 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,China, 202.78 ," 41,310.16 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Denmark, 670.50 ," 82,578.78 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Great Britain," 201,291.62 "," 15,650,651.89 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Iran (Islamic Republic of)," 1,259.33 "," 106,596.06 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Malaysia, 64.98 ," 3,313.24 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Poland, 664.25 ," 20,441.79 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Singapore, 165.79 ," 8,336.49 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,South Africa," 3,012.34 "," 92,661.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Sri Lanka," 6,074.50 "," 106,356.45 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Switzerland," 66,354.63 "," 8,967,148.67 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Thailand," 24,841.84 "," 3,377,496.41 "
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,France, 14.60 , 733.97 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Canada," 3,780.83 "," 216,034.44 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,China, 47.57 ," 2,283.07 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Netherlands," 62,597.14 "," 5,975,434.25 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Thailand," 5,175.84 "," 319,921.40 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,Germany, 612.02 ," 41,527.11 "
304499014,GROUPER LOIN (FRESH OR CHILLED),KGM,Ireland, 5.17 , 159.08 
304591012,BELLY FLAP (BIGEYE TUNA) FRESH OR CHILLED,KGM,Thailand," 9,061.00 "," 21,453.66 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Italy, 781.51 ," 34,545.18 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Singapore, 50.03 ," 3,079.85 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Spain, 888.08 ," 15,960.14 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,United States," 10,100.00 "," 251,565.75 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,France," 12,000.00 "," 92,352.00 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Malaysia, 98.00 ," 6,832.31 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Spain," 1,101.10 "," 33,869.83 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Switzerland, 7.02 ," 1,728.16 "
305491010,SKIPJACK (SMOKED),KGM,Japan," 12,472.00 "," 1,805,201.69 "
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,Japan," 33,967.00 "," 5,285,012.11 "
305591011,SKIPJACK (SALTED DRIED),KGM,Sri Lanka," 216,950.00 "," 3,772,029.92 "
305591012,TUNA (DRIED),KGM,Sri Lanka," 11,349.00 "," 182,277.03 "
305591016,"SKIPJACK TUNA BELLY FLAP(DRIED,SALTED IN BRINE)",KGM,Japan, 64.00 , 338.58 
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,Sri Lanka," 1,076.00 "," 43,922.51 "
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,Sri Lanka," 14,639.00 "," 271,640.81 "
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,Singapore, 19.00 ," 2,191.65 "
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,Sri Lanka," 20,153.00 "," 686,032.53 "
308190011,SEA CUCUMBER (DRIED),KGM,Vietnam," 6,145.00 "," 115,518.09 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Germany," 2,942,151.64 "," 210,083,134.01 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Norway," 272,438.40 "," 20,480,119.89 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,United Arab Emirates, 26.93 , 69.27 
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,United States," 125,392.51 "," 10,933,912.66 "
2710990000,"WASTE OIL, NES",TNE,United Arab Emirates, 100.00 ," 414,356.25 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,Taiwan," 167,000.00 "," 958,434.51 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Italy, 140.00 , 484.22 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,China, 200.00 , 769.50 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Finland, 60.00 , 230.78 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Singapore, 100.00 , 384.75 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Sweden, 60.00 , 230.78 
4009110012,HOSE (RUBBER) FOR AIRCONDITIONING WITHOUT FITTINGS,MTR,Sri Lanka, 53.00 ," 55,411.20 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Turkey," 5,000.00 "," 23,073.75 "
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Great Britain, 100.00 , 461.56 
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Ireland, 50.00 , 230.78 
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Norway, 120.00 , 369.24 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Belarus, 50.00 , 153.85 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Turkey," 2,400.00 "," 7,383.60 "
4415100000,"CASES, BOXES, CRATES, DRUMS AND SIMILAR PACKINGS OF WOOD; CABLE-DRUMS",NMB,India, 2.00 ," 29,077.65 "
4418200010,DOOR OF WOOD,NMB,Italy, 10.00 ," 8,618.40 "
4421990010,ARTICLES OF WOOD NES,NMB,Malaysia, 31.00 ," 36,985.54 "
4817300011,PAPER BOX (NEW),NMB,Germany, 38.00 , 146.13 
4817300011,PAPER BOX (NEW),NMB,Turkey, 38.00 , 116.91 
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Germany," 1,950.00 "," 5,999.18 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Spain," 1,110.00 "," 3,414.91 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Austria, 450.00 ," 1,308.15 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Italy, 530.00 ," 1,700.39 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Japan, 510.00 ," 1,569.27 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Russia, 150.00 , 461.55 
4911990000,"OTHER PRINTED MATTER, NES",NMB,France, 500.00 ," 1,537.20 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,Ireland, 50.00 , 153.85 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Norway, 160.00 , 338.47 
6506990000,"HATS AND OTHER HEADGEAR, NES",NMB,Turkey, 50.00 , 115.37 
7204100000,WASTE AND SCRAP OF CAST IRON,KGM,India," 64,099,000.00 "," 31,872,804.75 "
7326900099,"ARTICLES OF IRON, STEEL OR STAINLESS STEEL",NMB,Singapore, 150.00 , 307.90 
8422200099,"MACHINES FOR CLEANING OR DRYING BOTTLES, (NES)",NMB,Spain, 20.00 , 61.53 
8548100000,"WASTE/SCRAP OF PRIMARY CELLS/BATTERIES/ACCUM;SPENT PRIMARY CELLS,BATTERIES",TNE,India, 48.00 ," 343,645.45 "
301110000,LIVE FRESHWATER ORNAMENTAL FISH,NMB,Sri Lanka," 2,276.00 "," 17,509.31 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,China," 1,278.00 "," 9,834.21 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Germany," 12,724.00 "," 366,047.89 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Portugal," 1,460.00 "," 44,912.28 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Singapore, 248.00 ," 1,906.13 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,United Arab Emirates," 1,425.00 "," 10,957.91 "
301990010,GROUPER (LIVE ),NMB,Hong Kong," 627,250.50 "," 9,302,965.23 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Italy," 99,800.90 "," 8,989,812.66 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Switzerland," 11,576.42 "," 1,129,417.54 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Ukraine," 3,336.60 "," 238,657.53 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,United Arab Emirates," 112,839.30 "," 4,260,638.07 "
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Netherlands, 31.41 , 966.49 
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Sri Lanka, 159.00 ," 2,446.22 "
302390000,"FRESH OR CHILLED TUNAS, NES",KGM,Sri Lanka," 1,133.00 "," 34,873.74 "
302890010,FRESH OR CHILLED GROUPER,KGM,Ireland, 25.90 , 796.94 
302890010,FRESH OR CHILLED GROUPER,KGM,Sri Lanka, 937.30 ," 123,910.31 "
302890010,FRESH OR CHILLED GROUPER,KGM,Taiwan," 465,572.25 "," 21,330,774.72 "
302890010,FRESH OR CHILLED GROUPER,KGM,United States, 470.00 ," 76,365.18 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,France, 6.00 , 184.62 
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,Vietnam," 1,372.54 "," 34,577.86 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,Canada, 6.30 , 193.81 
302890013,REEF FISH (FRESH OR CHILLED),KGM,Sri Lanka, 500.70 ," 42,332.18 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Costa rica," 195,426.00 "," 6,573,688.40 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Philippines," 139,808.23 "," 2,899,922.84 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Serbia," 72,000.00 "," 3,423,237.05 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Sri Lanka," 4,109.50 "," 94,867.81 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Taiwan," 16,322.93 "," 251,046.66 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Costa rica," 182,816.60 "," 5,089,114.44 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Thailand," 25,035,341.00 "," 610,459,413.12 "
303440010,BIGEYE TUNA (FROZEN),KGM,Taiwan," 2,769.92 "," 42,601.37 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Vietnam," 19,805.88 "," 427,200.84 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,Trinidad and Tobago," 9,000.00 "," 207,562.50 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,Vietnam," 48,737.31 "," 1,733,453.84 "
303890099,FROZEN REEF FISH NES,KGM,Thailand," 8,434.58 "," 296,781.80 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Germany," 16,218.50 "," 1,075,083.03 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Switzerland, 784.55 ," 55,890.78 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,United Arab Emirates, 171.01 ," 13,800.77 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Canada," 25,426.25 "," 1,588,565.34 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Czech Republic, 603.35 ," 74,308.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Italy," 223,655.27 "," 21,899,526.76 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Ukraine, 8.41 , 258.78 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,United Arab Emirates," 18,237.87 "," 2,254,760.41 "
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,France," 1,326.72 "," 223,688.94 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Australia," 4,792.61 "," 346,045.70 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Austria," 1,040.25 "," 31,996.76 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Belgium," 10,443.98 "," 1,619,111.80 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,France," 417,868.48 "," 47,644,964.58 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Great Britain," 21,148.83 "," 1,218,301.86 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Hong Kong," 5,327.16 "," 258,368.85 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Spain," 18,504.64 "," 551,466.25 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,France," 4,190.96 "," 305,849.03 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Netherlands, 11.18 , 344.10 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Thailand, 1.33 , 147.37 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,France, 71.43 ," 11,822.84 "
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,Malaysia, 239.00 ," 8,349.54 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,France," 324,292.24 "," 10,872,776.91 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Netherlands, 126.90 ," 2,929.49 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Serbia," 15,980.00 "," 833,627.51 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Vietnam," 51,000.00 "," 392,125.00 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,Philippines," 25,280.00 "," 933,054.76 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,Vietnam," 10,000.00 "," 76,960.00 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,Malaysia, 339.00 ," 14,018.98 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,United States, 16.61 , 807.52 
304870099,OTHER FROZEN FISH FILLETS OF TUNA NES,KGM,Sri Lanka, 3.50 , 15.39 
304890011,MARLIN LOIN(FROZEN),KGM,Thailand," 2,869.31 "," 106,944.24 "
305391011,"TUNA FILLET (DRIED,SALTED,IN BRINE BUT NOT SMOKED)",KGM,Sri Lanka," 1,993.00 "," 57,830.46 "
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,Kenya, 975.00 ," 15,007.20 "
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,Japan," 122,210.00 "," 19,134,983.79 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,Singapore, 55.40 ," 5,542.66 "
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,Sri Lanka," 4,524.00 "," 114,240.42 "
305599016,"GREEN JOB FISH (SALTED DRIED)""GUILA""(GIULHU)",KGM,Sri Lanka, 225.00 ," 7,503.92 "
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,Sri Lanka," 76,910.00 "," 431,693.40 "
308190011,SEA CUCUMBER (DRIED),KGM,Singapore," 1,786.00 "," 79,922.72 "
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,Great Britain, 195.00 ," 29,981.25 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Great Britain," 1,680,230.78 "," 132,949,363.88 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Japan, 333.62 , 73.84 
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Malaysia," 1,825.20 "," 142,424.07 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Netherlands," 58,350.88 "," 4,478,652.32 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,Great Britain," 9,002.88 "," 1,637,498.79 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,Turkey," 15,984.00 "," 1,135,782.00 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Germany," 38,000.00 "," 497,097.00 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Indonesia," 38,000.00 "," 497,097.00 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Germany," 1,000.00 "," 3,845.62 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Singapore, 300.00 ," 1,154.62 "
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Great Britain, 100.00 , 384.62 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Japan, 340.00 ," 1,176.96 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Italy, 140.00 , 591.82 
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Malaysia," 8,000.00 "," 36,928.80 "
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Denmark, 120.00 , 369.24 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,China, 630.00 ," 2,554.74 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Denmark, 185.00 , 738.49 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Finland, 185.00 , 738.49 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Germany," 1,500.00 "," 4,614.75 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Great Britain, 100.00 , 307.70 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Norway, 185.00 , 738.49 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Singapore, 915.00 ," 3,124.77 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Spain," 1,200.00 "," 3,691.80 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Sweden, 185.00 , 738.49 
4421990010,ARTICLES OF WOOD NES,NMB,Great Britain, 50.00 ," 57,124.85 "
4421999010,ARTICLES OF WOOD,NMB,Thailand, 1.00 , 384.38 
4602190000,PLAITED ARTICLES OF OTHER VEGETABLE MATERIALS (NES); ARTICLES OF LOOFAH,NMB,Germany, 1.00 ," 1,537.50 "
4707300000,RECOVERED (WASTE/SCRAP) PAPER OR PAPERBOARD MADE MAINLY OF MECHANICAL PULP,KGM,India," 175,000.00 "," 217,298.75 "
4817300011,PAPER BOX (NEW),NMB,Spain, 38.00 , 146.13 
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,China, 600.00 ," 1,846.80 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Singapore," 1,937.00 "," 5,655.82 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,China, 700.00 ," 2,154.60 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Finland, 280.00 , 861.56 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Norway, 280.00 , 861.56 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Singapore, 350.00 ," 1,077.30 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Sweden, 280.00 , 861.56 
4905990011,MAP OF PAPER,NMB,Germany," 1,000.00 "," 3,076.50 "
4905990011,MAP OF PAPER,NMB,Spain, 500.00 ," 1,538.25 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,Great Britain, 100.00 , 307.70 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Japan, 170.00 , 523.09 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Malaysia," 1,650.00 "," 5,231.68 "
6104490000,"DRESSES OF OTHER TEXTILE MATERIAL, NES, KNITTED OR CROCHETED",NMB,Great Britain, 10.00 ," 34,848.32 "
6210400010,"SARONG (MUNDU) & LUNGIES (ANNA FOTHIGAN'DU),NOT KNITTED OR CROCHETED",NMB,Great Britain, 40.00 ," 6,151.40 "
6505000000,"HATS & OTHER HEADGEAR,KNITTED OR CROCHETED, MADE FROM LACE,ETC;HAIR-NETS OF ANY MATERIAL",NMB,Belarus, 50.00 , 153.85 
