MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2020,,,* Subjected to Post Modification,, Updated on : 28/02/2021 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,SPAIN, 97.15 ," 2,987.85 "
302490000,"FRESH OR CHILLED INDIAN MACKERALS, SEER FISH,....",KGM,SRI LANKA," 6,697.00 "," 90,080.60 "
302890010,FRESH OR CHILLED GROUPER,KGM,CAMBODIA," 3,854.00 "," 236,982.46 "
302890010,FRESH OR CHILLED GROUPER,KGM,FRANCE, 16.36 ," 1,006.14 "
302890010,FRESH OR CHILLED GROUPER,KGM,GERMANY, 64.90 ," 1,995.37 "
302890010,FRESH OR CHILLED GROUPER,KGM,HONG KONG," 482,905.90 "," 19,294,940.46 "
302890010,FRESH OR CHILLED GROUPER,KGM,IRELAND, 30.69 , 945.87 
302890010,FRESH OR CHILLED GROUPER,KGM,KENYA," 1,303.00 "," 80,212.68 "
302890010,FRESH OR CHILLED GROUPER,KGM,MALAYSIA, 24.30 , 594.24 
302890010,FRESH OR CHILLED GROUPER,KGM,NETHERLANDS, 471.04 ," 14,022.15 "
302890010,FRESH OR CHILLED GROUPER,KGM,TAIWAN," 289,452.00 "," 11,377,123.59 "
302890010,FRESH OR CHILLED GROUPER,KGM,UNITED STATES, 68.45 ," 3,157.26 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,SRI LANKA," 1,306.00 "," 78,908.92 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,FRANCE, 136.24 ," 4,188.36 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,GERMANY, 307.95 ," 9,467.43 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,GREAT BRITAIN, 7.40 , 227.62 
302890013,REEF FISH (FRESH OR CHILLED),KGM,NETHERLANDS," 3,093.06 "," 91,628.03 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,POLAND, 28.63 , 880.52 
302890013,REEF FISH (FRESH OR CHILLED),KGM,THAILAND, 23.12 ," 1,027.06 "
302991000,"OTHER FRESH OR CHILLED EDIBLE OFFAL OF TUNA, NES",KGM,SRI LANKA, 65.00 , 30.75 
303420010,YELLOWFIN TUNA (FROZEN),KGM,CAMBODIA, 62.00 ," 6,202.17 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,CANADA," 2,482.50 "," 2,711,553.77 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,COSTA RICA," 325,483.60 "," 17,429,299.50 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,FRANCE," 154,214.60 "," 7,922,304.82 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,GERMANY, 10.48 , 483.31 
303420010,YELLOWFIN TUNA (FROZEN),KGM,GREAT BRITAIN," 13,846.90 "," 119,494.06 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,ITALY," 24,000.00 "," 2,133,166.80 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN," 75,000.00 "," 1,672,303.12 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,MALAYSIA, 500.00 ," 12,227.10 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,MAURITIUS," 37,000.00 "," 1,424,662.30 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,NETHERLANDS," 10,000.00 "," 1,260,955.00 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 123,137.62 "," 3,879,778.11 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SERBIA," 96,800.00 "," 5,107,981.30 "
