Statistics Section,,,,,,,
Maldives Customs Service,,,,,,,
,,,,,,,
,,,,,,,
Total Exports In 2015,,,,,,,
,,,,,,,
Code,Description,Unit,Country of Destination, Quantity , FOB (MVR) ,,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,SPAIN," 1,577.00 "," 144,313.22 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,FRANCE," 6,372.00 "," 672,444.67 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,ITALY, 120.50 ," 12,958.26 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,JAPAN," 512,201.90 "," 24,778,943.70 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,SOUTH KOREA," 90,796.00 "," 3,911,055.85 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,SRI LANKA," 16,070.60 "," 726,524.44 ",,
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),Kgs,U.S.A," 67,430.90 "," 8,928,812.41 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,HONG KONG, 165.00 ," 7,604.99 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,JAPAN," 3,602.08 "," 276,891.90 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,SOUTH KOREA," 39,542.00 "," 1,703,279.55 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,SRI LANKA," 37,679.60 "," 1,531,145.47 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,SINGAPORE, 15.00 , 646.12 ,,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,THAILAND, 37.75 ," 1,679.46 ",,
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),Kgs,U.S.A," 18,165.00 "," 864,958.50 ",,
302890010,Fresh Or Chilled Grouper,Kgs,U.A.E, 568.40 ," 26,452.22 ",,
302890010,Fresh Or Chilled Grouper,Kgs,CZECH REPUBLIC, 77.38 ," 2,175.03 ",,
302890010,Fresh Or Chilled Grouper,Kgs,HONG KONG," 363,167.50 "," 21,851,800.33 ",,
302890010,Fresh Or Chilled Grouper,Kgs,KAZAKHSTAN, 61.70 ," 9,784.17 ",,
302890010,Fresh Or Chilled Grouper,Kgs,SRI LANKA," 1,681.90 "," 41,605.40 ",,
302890010,Fresh Or Chilled Grouper,Kgs,MALAYSIA, 61.85 ," 1,648.40 ",,
302890010,Fresh Or Chilled Grouper,Kgs,TAIWAN," 404,482.10 "," 29,886,006.95 ",,
302890010,Fresh Or Chilled Grouper,Kgs,U.S.A, 23.55 , 865.31 ,,
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),Kgs,HONG KONG, 76.00 ," 2,750.89 ",,
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),Kgs,JAPAN, 244.86 ," 11,752.76 ",,
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),Kgs,SOUTH KOREA," 2,281.00 "," 98,254.51 ",,
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),Kgs,SRI LANKA," 8,492.10 "," 228,409.99 ",,
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),Kgs,U.S.A, 19.00 , 583.87 ,,
302890013,Reef Fish (Fresh Or Chilled),Kgs,U.A.E," 3,058.50 "," 176,516.00 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,CANADA, 117.60 ," 9,938.71 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,SWITZERLAND, 84.50 ," 2,808.25 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,CHINA, 2.33 , 209.54 ,,
302890013,Reef Fish (Fresh Or Chilled),Kgs,CZECH REPUBLIC," 3,764.25 "," 95,395.22 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,HONG KONG," 2,808.50 "," 129,617.88 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,KAZAKHSTAN, 273.75 ," 49,426.10 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,SRI LANKA," 6,156.00 "," 216,122.74 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,MAURITIUS, 31.70 ," 3,896.81 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,RUSSIAN FEDERATION, 16.51 ," 3,588.88 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,SINGAPORE, 46.35 ," 1,330.93 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,TAIWAN," 3,346.00 "," 154,329.74 ",,
302890013,Reef Fish (Fresh Or Chilled),Kgs,U.S.A, 192.07 ," 6,525.12 ",,
303410000,Frozen Albacore Or Longfinned Tunas,Kgs,JAPAN," 1,906.00 "," 90,829.93 ",,
